State,District,Latitude,Longitude,District code,Population,Households with Internet,Non Workers,Cultivator Workers,Agricultural Workers,Household Workers,Other Workers,Hindus,Muslims,Christians,Sikhs,Buddhists,Jains,Others Religions,Below Primary Education,Primary Education,Middle Education,Secondary Education,Higher Education,Graduate Education,Other Education,sex ratio,Literacy Rate
Arunachal Pradesh,Upper Siang,28.8309244897959,95.00155765306124,252,35320,97,17676,9976,804,591,6273,5261,411,5643,27,2577,7,20967,3952,5584,4915,2935,2211,1349,46,89.0,52.0
Arunachal Pradesh,Upper Subansiri,28.277196566523585,93.8991435622318,249,83448,139,50078,21690,1846,481,9353,13474,521,8779,28,297,11,59449,10219,16118,15339,10348,8017,4276,473,100.0,54.0
Arunachal Pradesh,West Kameng,27.46486582278483,92.65015750452083,246,83947,202,41454,14476,1705,801,25511,31265,1970,8466,328,36087,71,5556,8836,10317,8428,5633,3987,2693,299,82.0,58.0
Arunachal Pradesh,West Siang,28.106296920289843,94.53510344202908,250,112274,303,63097,28852,1384,298,18643,15881,2218,29969,577,3311,49,60005,14227,17675,15908,11441,8418,6030,521,93.0,58.0
Assam,Barpeta,26.427872264631056,90.97912010178116,303,1693622,2078,1131798,205259,98946,30342,227277,492966,1198036,1020,112,49,399,14,210607,307884,300845,121924,87377,46947,8007,95.0,53.0
Assam,Bongaigaon,26.45012521994133,90.6734296187684,319,738804,2523,482998,83442,47406,9485,115473,359145,371033,5924,384,236,871,9,93591,138294,133643,55924,35491,20221,2267,97.0,59.0
Assam,Cachar,24.815570668693017,92.86849650455927,316,1736617,5316,1128555,120356,68664,24466,394576,1038985,654816,37635,280,341,1673,98,256855,447993,379469,156156,79766,45341,12951,96.0,68.0
Assam,Darrang,26.58463215962442,92.04141338028155,325,928500,1166,603657,129456,81617,10542,103228,327322,597392,1688,431,57,724,19,119027,163277,161153,59039,47398,22267,3079,95.0,52.0
Assam,Dhemaji,27.586533438485816,94.71336908517353,308,686133,1192,369333,231937,19181,7224,58458,655052,13475,8711,297,911,167,6315,79107,138838,136371,80804,55399,28006,2868,95.0,62.0
Assam,Dibrugarh,27.30612284482757,95.0998282327587,310,1326335,8817,765778,135194,61209,14362,349792,1198401,64526,52968,2261,4673,1055,46,143189,243607,301287,139813,89500,59380,6984,96.0,67.0
Assam,Goalpara,26.017277777777807,90.59869891598912,302,1008183,1364,645610,126549,75828,14346,145850,347878,579929,77862,771,194,477,103,124700,213510,183904,73683,39885,18294,3464,96.0,56.0
Assam,Golaghat,26.377219709794485,93.82583397823468,313,1066888,3073,586960,190590,66616,15068,207654,917426,90312,50582,1131,3863,530,1347,117393,223902,261192,111145,66197,36887,4084,96.0,68.0
Assam,Hailakandi,24.457496089385486,92.59154664804475,318,659296,1211,445056,65673,31248,7313,110006,251194,397653,8480,84,490,247,636,88596,177984,139029,50056,28504,11608,4265,95.0,62.0
Assam,Jorhat,26.76244824016563,94.30197722567289,312,1092256,5651,593638,145885,53153,31543,268037,1008219,54684,21051,1540,2378,719,578,99454,201680,295444,128050,97025,62608,8433,96.0,73.0
Assam,Kamrup,26.170939452054807,91.58863273972592,321,1517542,3109,888588,185803,99522,69106,274523,877495,601784,33297,319,185,1330,55,163849,290097,353861,154831,118849,55011,6444,95.0,66.0
Assam,Karbi Anglong,26.08966454598031,93.11536570271832,314,956313,1923,572872,223020,60952,9861,89608,766000,20290,157789,370,6260,397,3568,109324,212224,199289,93137,40602,18225,3426,95.0,58.0
Assam,Karimganj,24.69660712250711,92.3679498575498,317,1228686,1933,829515,94348,67033,17435,220355,521962,692489,11990,114,446,524,110,198059,333885,257931,76685,39637,21408,7903,96.0,65.0
Assam,Kokrajhar,26.497246635730868,90.13997470997688,300,887142,1218,546011,156753,56330,12423,115625,529068,252271,101091,93,1718,396,123,116899,166013,154715,78788,39571,17287,2733,96.0,55.0
Assam,Lakhimpur,27.14128805970149,94.0775949253732,307,1042137,1948,612142,239377,43922,10983,135713,797130,193476,46217,412,1074,250,2410,126950,212080,217497,107326,82885,44212,4731,97.0,66.0
Assam,Nagaon,26.26462170626351,92.9306191144708,305,2823768,5121,1843770,346123,196174,38122,399579,1225246,1563203,26844,3036,1073,1162,61,392616,638088,576214,199792,115864,66994,10351,96.0,61.0
Assam,Nalbari,26.46323767605632,91.40598521126763,323,771639,1631,504016,58070,34984,19302,155267,491582,277488,429,62,27,1004,9,75866,141690,192771,81507,71734,39368,3693,95.0,69.0
Assam,Sonitpur,26.73514926829268,92.85197804878044,306,1924110,4358,1153504,249123,114865,25719,380899,1422824,350536,138166,1363,5088,1003,221,216097,416218,377653,141373,90385,49901,6412,96.0,58.0
Assam,Tinsukia,27.53549291139241,95.69055949367085,309,1327929,5135,770733,149482,47756,13241,346717,1181347,48373,76877,1999,16228,837,395,150893,266717,276292,109805,61040,38152,7353,95.0,60.0
Bihar,Araria,26.211528119180603,87.30766554934816,209,2811569,2561,1741676,222913,691947,24367,130666,1593525,1207442,4116,371,187,1910,63,625357,426625,206161,112955,68177,39627,6938,92.0,43.0
Bihar,Aurangabad,24.774291867469877,84.45986024096379,235,2540073,2362,1702303,178525,426096,40652,192497,2291133,237353,2218,295,334,775,19,559512,482199,302662,253142,136783,91371,8329,93.0,58.0
Bihar,Aurangabad,24.774291867469877,84.45986024096379,515,3701282,23258,2126203,554518,396630,28033,595898,2545438,786677,15991,5142,309093,30981,1005,381695,686271,422964,537936,310762,253253,19101,92.0,68.0
Maharashtra,Aurangabad,20.0979228832952,75.32072196796334,235,2540073,2362,1702303,178525,426096,40652,192497,2291133,237353,2218,295,334,775,19,559512,482199,302662,253142,136783,91371,8329,93.0,58.0
Maharashtra,Aurangabad,20.0979228832952,75.32072196796334,515,3701282,23258,2126203,554518,396630,28033,595898,2545438,786677,15991,5142,309093,30981,1005,381695,686271,422964,537936,310762,253253,19101,92.0,68.0
Bihar,Banka,24.832355642023337,86.8664916342413,225,2034763,1704,1263683,172440,462614,26680,109346,1772655,250925,6138,139,113,94,1035,408188,386707,196305,120653,63103,35767,3922,91.0,47.0
Bihar,Begusarai,25.54302613168723,86.12560144032932,222,2970541,4644,2032359,146035,430870,58167,303110,2554330,407348,2209,402,229,276,57,577601,484502,291877,207136,144783,101836,14599,89.0,52.0
Bihar,Bhagalpur,25.277192885375477,87.04213814229242,224,3037766,6764,2054238,135161,475228,60461,312678,2487866,537098,3556,415,180,1050,32,614644,524322,300767,247079,154643,118843,16119,88.0,52.0
Bihar,Bhojpur,25.50666439393939,84.49407803030304,231,2728407,3661,1905914,190896,364875,47985,218737,2518216,197819,2165,544,647,1472,48,581580,605307,367059,313509,163303,131137,10630,91.0,59.0
Bihar,Buxar,25.48593018867924,84.08808081760995,232,1706352,1784,1168030,132472,251790,26122,127938,1591454,105423,2125,248,5090,97,57,331675,420187,256124,178044,89306,64117,5224,92.0,58.0
Bihar,Darbhanga,26.146187719298258,85.97387352472099,215,3937385,6280,2713745,236673,642115,44846,300006,3042729,881476,3534,832,245,236,101,672797,490534,332382,224622,152540,129597,26073,91.0,46.0
Bihar,Gaya,24.7266541547278,84.94291217765044,236,4391418,6856,2727356,370759,783505,87178,422620,3876395,488121,3943,913,870,1723,108,902272,757690,447480,342254,191824,131163,12047,94.0,52.0
Bihar,Gopalganj,26.44874364161851,84.34636127167629,217,2562012,3707,1833811,208959,338666,26049,154527,2119262,436057,2463,271,167,133,28,540603,470828,291624,223776,123249,79109,7690,102.0,54.0
Bihar,Jamui,24.78418380462726,86.26316298200514,238,1760405,1839,1032834,156491,331466,105637,133977,1525746,217621,8443,162,159,87,3438,420472,317612,153973,104211,56137,29633,3439,92.0,49.0
Bihar,Jehanabad,25.155679045643165,84.9208124481328,239,1125313,1106,759935,86108,179519,15075,84676,1045117,75742,691,148,248,60,58,211761,165906,117558,112966,68748,45519,3539,92.0,55.0
Bihar,Katihar,25.56565356037151,87.70466083591326,212,3071029,2941,2057463,168857,672291,20577,151841,1684589,1365645,8659,2754,212,507,2141,472616,444260,237243,133811,88498,57114,11896,92.0,42.0
Bihar,Khagaria,25.53558891454964,86.56593256351037,223,1666886,1580,1106081,104517,325731,20816,109741,1486989,175588,1253,143,79,86,115,350601,233494,130004,100555,65931,38697,5969,89.0,46.0
Bihar,Kishanganj,26.324336758321294,87.95045007235886,210,1690400,1093,1161336,107862,321867,11633,87702,531236,1149095,5783,398,183,1476,28,356401,235779,89025,42778,25989,15386,3761,95.0,44.0
Bihar,Lakhisarai,25.183449321266963,86.12825701357468,227,1000912,1186,674336,78532,159970,13546,74528,956396,40886,487,140,52,78,52,172076,149312,111684,85807,48001,27261,3814,90.0,51.0
Bihar,Madhepura,25.77341929460581,86.8978443983403,213,2001762,1397,1224216,190809,484062,16347,86328,1753829,241760,1342,170,60,133,81,340813,189431,114474,99437,79891,44955,6509,91.0,42.0
Bihar,Madhubani,26.41380538172716,86.16328360450552,207,4487379,5319,2850441,396880,940642,54934,244482,3652168,818912,3262,564,328,442,169,783888,771417,520875,303114,170563,137780,11352,93.0,48.0
Bihar,Munger,25.198537962962963,86.54173672839504,226,1367765,2653,941107,45953,196449,16690,167566,1252319,110416,1815,338,95,145,61,226699,158699,146414,147152,101907,64469,4394,88.0,59.0
Bihar,Muzaffarpur,26.18664417177915,85.32745092024543,216,4801062,10290,3253476,273436,769001,65253,439896,4032773,745546,5149,933,288,382,98,1092952,743623,419433,299475,194920,138916,14475,90.0,52.0
Bihar,Nalanda,25.229345508982053,85.48053113772461,229,2877653,4156,1832233,221240,534021,52585,237574,2669775,198033,1978,393,414,561,64,581978,486266,320839,274556,177358,133032,11159,92.0,53.0
Bihar,Nawada,24.825708836206903,85.61594568965519,237,2219146,1841,1402105,216400,397505,40018,163118,1964620,244394,1299,250,176,279,80,601011,368649,195072,161127,95943,64585,3130,94.0,49.0
Bihar,Pashchim Champaran,27.16064352201258,84.30265911949685,203,3935042,3495,2456095,217539,998833,38691,223884,3047427,865090,8469,926,1337,296,1895,1053481,543965,250243,159563,98732,70669,6035,91.0,45.0
